year,bracket,round,location,team_one_rank,team_one,team_one_score,team_two_rank,team_two,team_two_score,team_one_wins
1985,East,First Round,"Hartford, CT",1,Georgetown,68,16,Lehigh,43,True
1985,East,First Round,"Hartford, CT",8,Temple,60,9,Virginia Tech,57,True
1985,East,First Round,"Hartford, CT",5,SMU,85,12,Old Dominion,68,True
1985,East,First Round,"Hartford, CT",4,Loyola (IL),59,13,Iona,58,True
1985,East,First Round,"Atlanta, GA",6,Georgia,67,11,Wichita State,59,True
1985,East,First Round,"Atlanta, GA",3,Illinois,76,14,Northeastern,57,True
1985,East,First Round,"Atlanta, GA",7,Syracuse,70,10,DePaul,65,True
1985,East,First Round,"Atlanta, GA",2,Georgia Tech,65,15,Mercer,58,True
1985,East,Second Round,"Hartford, CT",1,Georgetown,63,8,Temple,46,True
1985,East,Second Round,"Hartford, CT",5,SMU,57,4,Loyola (IL),70,False
1985,East,Second Round,"Atlanta, GA",6,Georgia,58,3,Illinois,74,False
1985,East,Second Round,"Atlanta, GA",7,Syracuse,53,2,Georgia Tech,70,False
1985,East,Sweet Sixteen,"Providence, RI",1,Georgetown,65,4,Loyola (IL),53,True
1985,East,Sweet Sixteen,"Providence, RI",3,Illinois,53,2,Georgia Tech,61,False
1985,East,Elite Eight,"Providence, RI",1,Georgetown,60,2,Georgia Tech,54,True
1985,Midwest,First Round,"Tulsa, OK",1,Oklahoma,96,16,North Carolina A&T,83,True
1985,Midwest,First Round,"Tulsa, OK",8,USC,55,9,Illinois State,58,False
1985,Midwest,First Round,"Tulsa, OK",5,Louisiana Tech,78,12,Pitt,54,True
1985,Midwest,First Round,"Tulsa, OK",4,Ohio State,75,13,Iowa State,64,True
1985,Midwest,First Round,"Houston, TX",6,Texas Tech,53,11,Boston College,55,False
1985,Midwest,First Round,"Houston, TX",3,Duke,75,14,Pepperdine,62,True
1985,Midwest,First Round,"Houston, TX",7,UAB,70,10,Michigan State,68,True
1985,Midwest,First Round,"Houston, TX",2,Memphis,67,15,Penn,55,True
1985,Midwest,Second Round,"Tulsa, OK",1,Oklahoma,75,9,Illinois State,69,True
1985,Midwest,Second Round,"Tulsa, OK",5,Louisiana Tech,79,4,Ohio State,67,True
1985,Midwest,Second Round,"Houston, TX",11,Boston College,74,3,Duke,73,True
1985,Midwest,Second Round,"Houston, TX",7,UAB,66,2,Memphis,67,False
1985,Midwest,Sweet Sixteen,"Dallas, TX",1,Oklahoma,86,5,Louisiana Tech,84,True
1985,Midwest,Sweet Sixteen,"Dallas, TX",11,Boston College,57,2,Memphis,59,False
1985,Midwest,Elite Eight,"Dallas, TX",1,Oklahoma,61,2,Memphis,63,False
1985,Southeast,First Round,"Dayton, OH",1,Michigan,59,16,Fairleigh Dickinson,55,True
1985,Southeast,First Round,"Dayton, OH",8,Villanova,51,9,Dayton,49,True
1985,Southeast,First Round,"Dayton, OH",5,Maryland,69,12,Miami (OH),68,True
1985,Southeast,First Round,"Dayton, OH",4,LSU,55,13,Navy,78,False
1985,Southeast,First Round,"South Bend, IN",6,Purdue,58,11,Auburn,59,False
1985,Southeast,First Round,"South Bend, IN",3,Kansas,49,14,Ohio,38,True
1985,Southeast,First Round,"South Bend, IN",7,Notre Dame,79,10,Oregon State,70,True
1985,Southeast,First Round,"South Bend, IN",2,UNC,76,15,Middle Tennessee,57,True
1985,Southeast,Second Round,"Dayton, OH",1,Michigan,55,8,Villanova,59,False
1985,Southeast,Second Round,"Dayton, OH",5,Maryland,64,13,Navy,59,True
1985,Southeast,Second Round,"South Bend, IN",11,Auburn,66,3,Kansas,64,True
1985,Southeast,Second Round,"South Bend, IN",7,Notre Dame,58,2,UNC,60,False
1985,Southeast,Sweet Sixteen,"Birmingham, AL",8,Villanova,46,5,Maryland,43,True
